produkt_id,title,title_href,image_src,price,stars,like_number
1,"LG 49LH604V TV#:49 Zoll",product.php?id=2006622791,https://images-na.ssl-images-amazon.com/images/I/61s4XzZa00L._SL1010_.jpg,"$391,99",&#9733;&#9733;&#9733;&#9734;&#9734;,2
2,"LG 49UM7100PLB 49 Inch UHD 4K ...",product.php?id=2006623401,https://m.media-amazon.com/images/I/811hhwXpGSL._AC_UY218_ML3_.jpg,"$361,48",&#9733;&#9733;&#9733;&#9733;&#9734;,926
3,"LG 65UH770V 65 inch Super Ultr...",product.php?id=2006623402,https://images-na.ssl-images-amazon.com/images/I/41YR-7vimeL._SX450_.jpg,"$1675,18",&#9733;&#9733;&#9733;&#9733;&#9734;,82
4,"LG 55UK6200PLA 55-Inch 4K UHD ...",product.php?id=2006623403,https://m.media-amazon.com/images/I/816EZ53GfQL._AC_UY218_ML3_.jpg,"$681,15",&#9733;&#9733;&#9733;&#9733;&#9734;,182
5,"LG 49UH750V 49 inch Ultra HD 4...",product.php?id=2006623404,https://images-na.ssl-images-amazon.com/images/I/514n%2BA7Xr7L._SX355_.jpg,"$804,94",&#9733;&#9733;&#9733;&#9734;&#9734;,25
6,"TV LED LG 43UM7390PLC - 43&quo...",product.php?id=2006623405,https://m.media-amazon.com/images/I/81I0oigENeL._AC_UY218_ML3_.jpg,"$482,42",&#9733;&#9734;&#9734;&#9734;&#9734;,1
7,"LG 55UH770V 55 inch Super Ultr...",product.php?id=2006623406,https://images-na.ssl-images-amazon.com/images/I/41YR-7vimeL._SX450_.jpg,"$999,99",&#9733;&#9733;&#9733;&#9733;&#9734;,82
8,"LG 49UM7100PLB 49 Inch UHD 4K ...",product.php?id=2006623407,https://m.media-amazon.com/images/I/6107Jy+fE9L._AC_UY218_ML3_.jpg,"$349,00",&#9733;&#9733;&#9733;&#9733;&#9734;,926
9,"LG 49UM7100PLB 49-Inch UHD 4K ...",product.php?id=2006623408,https://images-na.ssl-images-amazon.com/images/I/51z62TntZnL._SL1000_.jpg,"$411,47",&#9733;&#9733;&#9733;&#9733;&#9734;,930
10,"LG 65SM8500PLA 65-Inch UHD 4K ...",product.php?id=2006623409,https://m.media-amazon.com/images/I/61PdpGR7QsL._AC_UY218_ML3_.jpg,"$984,79",&#9733;&#9733;&#9733;&#9733;&#9734;,184
11,"LG 55SM8500PLA 55-Inch UHD 4K ...",product.php?id=2006623410,https://m.media-amazon.com/images/I/61PdpGR7QsL._AC_UY218_ML3_.jpg,"$728,99",&#9733;&#9733;&#9733;&#9733;&#9734;,206
12,"LG 75UK6500PLA 75-Inch UHD 4K ...",product.php?id=2006623411,https://images-na.ssl-images-amazon.com/images/I/51-1GnErdVL._AC_SL1001_.jpg,"$2030,26",&#9733;&#9733;&#9733;&#9733;&#9734;,237
13,"LG 65UK6500PLA 65-Inch UHD 4K ...",product.php?id=2006623412,https://images-na.ssl-images-amazon.com/images/I/51L1NGm8zdL._AC_SL1001_.jpg,"$1055,87",&#9733;&#9733;&#9733;&#9733;&#9734;,237
14,"LG 65SK8000PLB 65-Inch Super U...",product.php?id=2006623413,https://images-na.ssl-images-amazon.com/images/I/31FqhugSlTL._AC_SY355_.jpg,"$1228,24",&#9733;&#9733;&#9733;&#9733;&#9734;,180
15,"LG 65UK6300PLB 65-Inch UHD 4K ...",product.php?id=2006623414,https://m.media-amazon.com/images/I/51Hm4nf3zaL._AC_UY218_ML3_.jpg,"$1051,57",-,0
16,"LG 49UM7100PLB 49 Inch UHD 4K ...",product.php?id=2006623415,https://m.media-amazon.com/images/I/4131o74bcrL._AC_UY218_ML3_.jpg,"$560,48",-,0
17,"LG 65UK6500PLA 65-Inch UHD 4K ...",product.php?id=2006623416,https://m.media-amazon.com/images/I/51GV-5arHBL._AC_UY218_ML3_.jpg,"$784,56",-,0
18,"LG 65UK6300PLB 65-Inch UHD 4K ...",product.php?id=2006623417,https://m.media-amazon.com/images/I/31jDFDVbtxL._AC_UY218_ML3_.jpg,"$1260,78",-,0
19,"LG 55UM7100PLB 55 Inch UHD 4K ...",product.php?id=2006623418,https://m.media-amazon.com/images/I/811hhwXpGSL._AC_UY218_ML3_.jpg,"$426,98",&#9733;&#9733;&#9733;&#9733;&#9734;,967
20,"LG 43UM7100PLB 43 Inch UHD 4K ...",product.php?id=2006623419,https://m.media-amazon.com/images/I/811hhwXpGSL._AC_UY218_ML3_.jpg,"$329,00",&#9733;&#9733;&#9733;&#9733;&#9734;,930
21,"55SK9500PLA 55&quot; Smart Bui...",product.php?id=2006623420,https://m.media-amazon.com/images/I/71ZFm7VoXWL._AC_UY218_ML3_.jpg,"$1437,32",&#9733;&#9733;&#9733;&#9734;&#9734;,4
22,"LG 55UM7100PLB 55 Inch UHD 4K ...",product.php?id=2006623421,https://m.media-amazon.com/images/I/6107Jy+fE9L._AC_UY218_ML3_.jpg,"$399,00",&#9733;&#9733;&#9733;&#9733;&#9734;,926
23,"LG 43UM7100PLB 43 Inch UHD 4K ...",product.php?id=2006623422,https://m.media-amazon.com/images/I/6107Jy+fE9L._AC_UY218_ML3_.jpg,"$303,49",&#9733;&#9733;&#9733;&#9733;&#9734;,926
24,"LG 43UM7100PLB 43-Inch UHD 4K ...",product.php?id=2006623423,https://images-na.ssl-images-amazon.com/images/I/51z62TntZnL._SL1000_.jpg,"$378,99",&#9733;&#9733;&#9733;&#9733;&#9734;,976
